time,dx,dy
2000,-3,2
2000,-1,1
2000,-2,2
2000,-2,1
2000,-2,1
2000,-3,2
2000,-2,2
2000,-3,2
2000,-3,3
2000,-3,2
2000,-3,3
2000,-4,5
2000,-4,5
2000,-4,5
2000,-5,4
2000,-4,5
2000,-4,4
2000,-3,4
2000,-3,4
2000,-4,3
2000,-3,2
2000,-3,3
2000,-3,2
2000,-3,3
2000,-3,3
2000,-3,3
2000,-2,1
2000,-3,2
2000,-3,3
2000,-3,2
2000,-3,4
2000,-3,3
2000,-4,4
2000,-4,3
2000,-5,4
2000,-6,4
2000,-4,4
2000,-4,3
2000,-4,4
2000,-4,3
2000,-4,4
2000,-3,2
2000,-4,3
2000,-4,3
2000,-3,4
2000,-5,3
2000,-4,3
2000,-4,3
2000,-4,3
2000,-6,5
2000,-3,3
2000,-4,4
2000,-5,4
2000,-4,3
2000,-5,5
2000,-4,3
2000,-5,3
2000,-4,4
2000,-4,3
2000,-4,3
2000,-5,5
2000,-3,2
2000,-5,3
2000,-3,3
2000,-5,3
2000,-5,4
2000,-4,4
2000,-6,3
2000,-4,4
2000,-5,4
2000,-5,4
2000,-5,4
2000,-4,3
2000,-5,4
2000,-5,3
2000,-7,6
2000,-5,3
2000,-5,4
2000,-4,3
2000,-5,4
2000,-5,4
2000,-4,3
2000,-5,4
2000,-4,3
2000,-4,3
2000,-5,4
2000,-5,4
2000,-4,3
2000,-5,4
2000,-6,4
2000,-5,4
2000,-5,3
2000,-5,4
2000,-6,4
2000,-5,4
2000,-7,6
2000,-5,4
2000,-6,4
2000,-6,5
2000,-5,4
2000,-5,4
2000,-6,5
2000,-6,4
2000,-5,5
2000,-6,4
2000,-4,4
2000,-6,4
2000,-6,4
2000,-7,5
2000,-5,5
2000,-9,7
2000,-4,4
2000,-6,4
2000,-5,5
2000,-4,4
2000,-6,5
2000,-6,4
2000,-5,5
2000,-5,4
2000,-6,5
2000,-6,4
2000,-6,5
2000,-4,4
2000,-6,5
2000,-5,4
2000,-5,4
2000,-5,3
2000,-5,5
2000,-6,4
2000,-5,5
2000,-6,4
2000,-5,5
2000,-8,6
2000,-6,4
2000,-5,5
2000,-6,4
2000,-5,5
2000,-6,5
2000,-5,5
2000,-6,4
2000,-6,5
2000,-6,4
2000,-5,5
2000,-6,4
2000,-6,5
2000,-5,5
