time,dx,dy
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
2000,0,0
